logFC	AveExpr	t	P.Value	adj.P.Val	B
CCL4L2	-1.18523076877008	6.84165546543066	-5.95975636024612	1.97891892004128e-08	3.54652189854549e-07	8.94008569777331
RPS28	-1.18320647340946	11.6274141816058	-5.932235569549	2.2624246518084e-08	3.95470315808582e-07	8.81095140245085
CD5	-1.47599609822834	6.38455870924818	-5.93106924093522	2.27528136373253e-08	3.97053691070053e-07	8.8054864645552
ZNHIT6	-1.05190655706772	6.80301024424818	-5.92616482795645	2.33013274163112e-08	4.05272504962897e-07	8.78251332220039
LYRM2	-1.03122144962204	8.1633856330365	-5.91579697358723	2.45039217278089e-08	4.19900809542273e-07	8.73398533975875
HNRNPA1P4	-1.02016219386457	9.11110778624817	-5.91175252584867	2.49893762197642e-08	4.26820179126136e-07	8.7150684214633
ADGRG5	-1.1357381397874	7.03404215635766	-5.90482078495278	2.58434223364618e-08	4.39969533685724e-07	8.68266468157656
GATA2	-1.19272222568032	5.7040873479927	-5.90024407627443	2.64229329896699e-08	4.476481661929e-07	8.66128231796252
SERPINA10	-1.02283527117953	6.42388994306569	-5.87227974304114	3.02509162231021e-08	5.02723095834795e-07	8.53084682750842
CYP2S1	-1.24583414010394	5.4687286470438	-5.86887097863273	3.07532040338778e-08	5.07840824275079e-07	8.51497234895197
TARBP1	-1.1396250605252	6.16985201456204	-5.86221127863333	3.17582300753679e-08	5.20327239777149e-07	8.48397424455934
LPIN1	-1.31667966285985	8.24928722932847	-5.86010969731397	3.20820163236495e-08	5.24809572192658e-07	8.47419662376225
AGPAT5	-1.05553035587717	5.71159244070073	-5.84606657787259	3.43302217552495e-08	5.52933448393873e-07	8.40891467180182
SLAMF1	-1.07367974067244	6.56778745551825	-5.80176251175643	4.24834323090091e-08	6.57895285816404e-07	8.20357531509438
ZNF683	-1.38314095135748	6.61089312237226	-5.67822356058507	7.65909052779464e-08	1.10276134004184e-06	7.63601744760819
HOXB2	-1.03768153389134	6.60241953036496	-5.67578241613801	7.74824773724874e-08	1.11253342853655e-06	7.62487791022357
ESYT1	-1.08672431985827	9.63417575419708	-5.66436090882025	8.17906973370598e-08	1.16479313251265e-06	7.57279808547521
CRTAP	-1.39162200439448	7.83663238240146	-5.6489318693383	8.79846917736188e-08	1.24621135922715e-06	7.5025477738908
CNTNAP2	-1.50723106612047	5.11009272391971	-5.63478754729245	9.40647760011471e-08	1.3222805733723e-06	7.43825135741371
SLC45A3	-1.22848618409606	6.49188034889051	-5.57857972628101	1.22556039604527e-07	1.66158013227771e-06	7.18373921770294
MYC	-1.0775147620374	8.36576329177007	-5.56963584038057	1.27807888771609e-07	1.72143436733662e-06	7.14338822531369
DOCK10	-1.14970095330709	9.13594843430657	-5.52734578126629	1.55773117838184e-07	2.03809718573716e-06	6.95314644797095
CD4	-1.46735706987244	6.7657775839927	-5.49255055838535	1.83193853856066e-07	2.34384988293447e-06	6.79730935202203
FASLG	-1.08152723447953	5.4565366689781	-5.47901476282104	1.95089618675574e-07	2.48086591729413e-06	6.73685599326431
CTSW	-1.43018793992363	7.51665943226277	-5.45319549468286	2.19908884121103e-07	2.75294319247652e-06	6.6218068926215
PEBP1	-1.05860753192677	8.71941205094161	-5.43928780186441	2.34529493961082e-07	2.89056925029941e-06	6.5599794831727
MAP4K1	-1.20311100489134	8.72545374023358	-5.42350220689714	2.52275819705998e-07	3.06632458533348e-06	6.48992681947796
LGALS2	-2.09498594482598	7.3686372619781	-5.42040768146286	2.55905285393115e-07	3.092460055739e-06	6.47620944048216
CXCR3	-1.15576852412914	6.02765003606569	-5.39575626175512	2.8669701646064e-07	3.39393421637947e-06	6.3671155407748
ALDH1A1	-1.54028870286693	7.05548579175912	-5.31786782881713	4.09681638322335e-07	4.65478496237322e-06	6.02455004841954
RPL13	-1.0367452758378	9.1103272970146	-5.30934869269624	4.25912387248665e-07	4.82346932167962e-06	5.98727925809893
AXIN2	-1.02237687906535	6.78978816940146	-5.28780285524374	4.69810918679892e-07	5.25233532936996e-06	5.8931927226181
PTGDR2	-1.95602828476141	5.47107923954745	-5.27359747164138	5.01134516573312e-07	5.58460458607764e-06	5.8312985302329
CX3CR1	-1.62322491815236	9.12939349406569	-5.26965148563278	5.10190956863165e-07	5.65538289723294e-06	5.81412501795584
KLF4	-1.00455483480551	7.47713344901825	-5.26388289853923	5.2371813442587e-07	5.79304302555939e-06	5.78903457732544
GZMA	-1.95107520122046	9.9028005850438	-5.26251560520138	5.26975287267073e-07	5.82290980740245e-06	5.78309020787872
P2RX7	-1.10721304591811	7.59162331838686	-5.25092397045566	5.55393545396342e-07	6.08545988472533e-06	5.73273615762416
IL32	-1.6214363247	9.12818121140146	-5.21705719257314	6.47247193205268e-07	6.93204396575273e-06	5.58604166927058
RASGRP1	-1.14172122951102	7.56120864421168	-5.21424226744955	6.55515775568441e-07	7.00053237428592e-06	5.57387723385714
LAX1	-1.14193097443386	7.43550388273723	-5.20159763959019	6.93944869217319e-07	7.35680093096211e-06	5.51928873229118
GOLGA8B	-1.00505619014488	9.33171059075912	-5.20079907435399	6.96444148868797e-07	7.36665768214076e-06	5.5158441956111
CECR1	-1.05813015707519	8.0359566059635	-5.1606928055221	8.33895250598018e-07	8.59635804191428e-06	5.3433057216394
PEA15	-1.15485889504882	8.90263968026277	-5.15949275873107	8.38390598754403e-07	8.6256859535234e-06	5.3381569079981
DUSP6	-1.08885559343621	9.02361673223358	-5.14087825109278	9.11216009005789e-07	9.28356816972467e-06	5.25839450262522
CD96	-1.21287950482756	7.85794455118978	-5.11500157167969	1.02276374665689e-06	1.02698841919351e-05	5.14783763844086
KLRG1	-1.62643806124173	8.09061927051825	-5.08116676165548	1.18882284121738e-06	1.17344335781353e-05	5.00385127950986
CD6	-1.52120066863858	8.63900386881752	-5.04104491346809	1.41987675586364e-06	1.36666406344775e-05	4.83395511341628
PRSS33	-2.01773732497795	5.71595147033577	-5.03478614028116	1.4596495963887e-06	1.39979057165607e-05	4.80753546658762
CCR3	-2.22661494905906	7.94020295505839	-4.98457349375326	1.82040082422186e-06	1.68241464519407e-05	4.59639493250289
LEF1	-1.45689845085196	8.63653908736496	-4.96838581005555	1.95416194197355e-06	1.7747050199348e-05	4.52863859189795
EEF1A1P12	-1.05020620059842	13.4132174803066	-4.96414945227003	1.99071399474672e-06	1.80476438743169e-05	4.51093180333177
SKAP1	-1.44298853323307	8.34382833872993	-4.94409927132213	2.17291019278752e-06	1.93885744981925e-05	4.42726999475394
MAL	-1.48263420935787	8.58673925962774	-4.93889485741578	2.22278801068818e-06	1.97239414904275e-05	4.40559244487521
KLRF1	-1.15736466479054	7.6016539485219	-4.87872006539338	2.88655484613976e-06	2.46110585699013e-05	4.15611025365356
