Probe	ProbeID	gennames	biotype_gene
351	ILMN_1653006	5220736	CSN1S1	protein_coding
352	ILMN_1653018	5420202	TMEM232	protein_coding
353	ILMN_1653026	4830113	PLAC8	protein_coding
354	ILMN_1653028	5910431	COL4A1	protein_coding
355	ILMN_1653031	4220047	NA	NA
356	ILMN_1653033	4880719	NA	NA
357	ILMN_1653039	7040482	NA	NA
358	ILMN_1653040	4730255	NA	NA
359	ILMN_1653042	1500608	HSD3B7	protein_coding
360	ILMN_1653043	1240349	NA	NA
361	ILMN_1653055	3310037	SOX3	protein_coding
362	ILMN_1653056	630291	NA	NA
363	ILMN_1653057	6040154	THSD7A	protein_coding
364	ILMN_1653073	730059	OR10Q1	protein_coding
365	ILMN_1653077	6980338	CYP19A1	protein_coding
366	ILMN_1653092	6200605	FAM186A	protein_coding
367	ILMN_1653098	1660468	NA	NA
368	ILMN_1653102	5310753	BICDL1	protein_coding
369	ILMN_1653103	2120201	CNBD2	protein_coding
370	ILMN_1653106	2940411	LINC00452	lincRNA
371	ILMN_1653120	3450706	ST6GAL1	protein_coding
372	ILMN_1653125	6840743	PER1	protein_coding
373	ILMN_1653129	6280079	CSTF2	protein_coding
374	ILMN_1653133	780133	SH3D19	protein_coding
375	ILMN_1653134	5340148	CNEP1R1	protein_coding
376	ILMN_1653142	380025	NA	NA
377	ILMN_1653143	1450523	ECD	protein_coding
378	ILMN_1653146	2900754	MSH4	protein_coding
379	ILMN_1653150	1580747	NA	NA
380	ILMN_1653158	3400114	DPRX	protein_coding
381	ILMN_1653161	7000669	NA	NA
382	ILMN_1653163	6180092	NA	NA
383	ILMN_1653165	4610048	AAMP	protein_coding
384	ILMN_1653166	1050189	CLEC10A	protein_coding
385	ILMN_1653174	1940615	GCNT2	protein_coding
386	ILMN_1653182	2140209	NA	NA
387	ILMN_1653193	4070040	NA	NA
388	ILMN_1653198	2650279	CD2	protein_coding
389	ILMN_1653200	4010367	SLC22A17	protein_coding
390	ILMN_1653203	6100180	NA	NA
391	ILMN_1653205	1510452	C8orf59	protein_coding
392	ILMN_1653207	1090040	NA	NA
393	ILMN_1653209	650156	ZWINT	protein_coding
394	ILMN_1653211	6100706	ATP1B4	protein_coding
395	ILMN_1653220	6960215	PITPNM1	protein_coding
396	ILMN_1653228	3130487	C3orf22	protein_coding
397	ILMN_1653240	1340735	NA	NA
398	ILMN_1653251	6770438	HIST1H1B	protein_coding
399	ILMN_1653263	1470609	GPRIN1	protein_coding
400	ILMN_1653266	5570626	DNAJB14	protein_coding
401	ILMN_1653267	6290528	GPR26	protein_coding
402	ILMN_1653274	6980014	NUDT10	protein_coding
403	ILMN_1653276	2370541	NA	NA
404	ILMN_1653278	3400097	NA	NA
405	ILMN_1653282	2510379	LCE2A	protein_coding
406	ILMN_1653283	1190735	APP	protein_coding
407	ILMN_1653286	6330014	NA	NA
408	ILMN_1653292	7400653	PFKFB4	protein_coding
409	ILMN_1653310	610309	NA	NA
410	ILMN_1653319	520292	NA	NA
411	ILMN_1653324	2370088	IL22RA2	protein_coding
412	ILMN_1653337	2230553	NA	NA
413	ILMN_1653340	150093	RECQL5	protein_coding
414	ILMN_1653342	4040332	DUS1L	protein_coding
415	ILMN_1653347	3520482	PREX1	protein_coding
416	ILMN_1653352	7510112	NA	NA
417	ILMN_1653358	940487	FUT3	protein_coding
418	ILMN_1653367	4200626	TAF12	protein_coding
419	ILMN_1653368	2810735	MAML2	protein_coding
420	ILMN_1653369	5860692	LINC01138	lincRNA
421	ILMN_1653372	6380102	ATP8B3	protein_coding
422	ILMN_1653376	6060026	FAM171B	protein_coding
423	ILMN_1653378	360136	NA	NA
424	ILMN_1653385	3940253	NA	NA
425	ILMN_1653386	160553	SULT6B1	protein_coding
426	ILMN_1653394	1580441	CELF2	protein_coding
427	ILMN_1653395	7160494	NA	NA
428	ILMN_1653404	6980164	NKIRAS2	protein_coding
429	ILMN_1653412	2120653	RAX2	protein_coding
430	ILMN_1653420	5340156	NA	NA
431	ILMN_1653428	2630142	NA	NA
432	ILMN_1653429	6660767	SLC35A3	protein_coding
433	ILMN_1653432	6860678	HNRNPDL	protein_coding
434	ILMN_1653434	270520	DMD	protein_coding
435	ILMN_1653437	3890692	SUN1	protein_coding
436	ILMN_1653438	6940386	PHF14	protein_coding
437	ILMN_1653443	2350286	NA	NA
438	ILMN_1653447	4640133	NA	NA
439	ILMN_1653458	3400136	NA	NA
440	ILMN_1653459	7160204	IL11RA	protein_coding
441	ILMN_1653461	4880278	CCSER1	protein_coding
442	ILMN_1653463	5870470	SULT1C3	protein_coding
443	ILMN_1653466	5260070	HES4	protein_coding
444	ILMN_1653470	830181	KLC2	protein_coding
445	ILMN_1653480	130577	CCDC125	protein_coding
446	ILMN_1653494	7200373	NA	NA
447	ILMN_1653496	7550392	GLUL	protein_coding
448	ILMN_1653498	3850202	NA	NA
449	ILMN_1653500	5220193	NA	NA
450	ILMN_1653501	430181	SEMA3B	protein_coding
451	ILMN_1653504	160754	S1PR1	protein_coding
452	ILMN_1653506	160327	FTH1P6	processed_pseudogene
453	ILMN_1653514	4560646	RBBP4	protein_coding
454	ILMN_1653524	2230392	SIKE1	protein_coding
455	ILMN_1653527	6350273	STK3	protein_coding
456	ILMN_1653529	6770044	TEX10	protein_coding
457	ILMN_1653566	2120070	NA	NA
458	ILMN_1653572	3180202	NA	NA
459	ILMN_1653573	4670615	LINC00892	processed_transcript
460	ILMN_1653575	5670463	IL18BP	protein_coding
461	ILMN_1653577	7000482	NA	NA
462	ILMN_1653591	1190408	TRIM40	protein_coding
463	ILMN_1653599	3190671	ATP5D	protein_coding
464	ILMN_1653601	6270132	NA	NA
465	ILMN_1653603	2690754	DBF4P1	processed_pseudogene
466	ILMN_1653607	4830440	TXNDC2	protein_coding
467	ILMN_1653612	1430626	KCTD9	protein_coding
468	ILMN_1653613	3310451	PIGO	protein_coding
469	ILMN_1653618	1300441	ZZZ3	protein_coding
470	ILMN_1653622	2260544	NA	NA
471	ILMN_1653636	4180332	NA	unprocessed_pseudogene
472	ILMN_1653646	1240307	UBL7	protein_coding
473	ILMN_1653648	3420528	GPR63	protein_coding
474	ILMN_1653660	510170	VPS13A	protein_coding
475	ILMN_1653665	2190037	NA	NA
476	ILMN_1653666	160670	KLHL7	protein_coding
477	ILMN_1653667	1660653	NA	NA
478	ILMN_1653670	6200066	NA	NA
479	ILMN_1653678	7150347	DTX4	protein_coding
480	ILMN_1653687	5340136	GALNT9	protein_coding
481	ILMN_1653704	4180600	IL9	protein_coding
482	ILMN_1653708	5310170	CORO1B	protein_coding
483	ILMN_1653709	4900209	NA	NA
484	ILMN_1653711	5720180	FZD2	protein_coding
485	ILMN_1653712	6100609	UAP1L1	protein_coding
486	ILMN_1653716	6520711	NA	lincRNA
487	ILMN_1653718	60403	ZFAND2B	protein_coding
488	ILMN_1653719	5570129	NA	NA
489	ILMN_1653728	4210519	ERBB4	protein_coding
490	ILMN_1653744	4120368	NDOR1	protein_coding
491	ILMN_1653748	5360100	CST11	protein_coding
492	ILMN_1653750	450088	NA	NA
493	ILMN_1653760	1690538	NA	TEC
494	ILMN_1653761	3450682	MYCN	protein_coding
495	ILMN_1653762	6420113	NRSN1	protein_coding
496	ILMN_1653766	780356	CCL24	protein_coding
497	ILMN_1653768	2750010	NA	NA
498	ILMN_1653771	5560730	WDR63	protein_coding
499	ILMN_1653783	7000736	MLC1	protein_coding
500	ILMN_1653786	3520379	NA	NA
501	ILMN_1653787	730682	RPL35P9	processed_pseudogene
502	ILMN_1653788	510612	RNF208	protein_coding
503	ILMN_1653797	5860754	C6orf62	protein_coding
504	ILMN_1653801	6130040	NA	NA
505	ILMN_1653807	7160170	NA	NA
506	ILMN_1653814	6330184	HBBP1	transcribed_unprocessed_pseudogene
507	ILMN_1653821	1070315	ADRA1A	protein_coding
508	ILMN_1653822	1570309	NEK2	protein_coding
509	ILMN_1653824	2230594	LAMC2	protein_coding
510	ILMN_1653826	1090056	NA	NA
511	ILMN_1653828	830168	CHFR	protein_coding
512	ILMN_1653829	4220678	DNAJC17	protein_coding
513	ILMN_1653833	7650039	LINC00410	lincRNA
514	ILMN_1653834	780647	NA	NA
515	ILMN_1653836	6200025	NA	NA
516	ILMN_1653856	1940524	UBASH3B	protein_coding
517	ILMN_1653861	430168	NA	NA
518	ILMN_1653864	6400037	NA	NA
519	ILMN_1653865	360576	NA	NA
520	ILMN_1653867	240091	ZNF483	protein_coding
521	ILMN_1653871	2230379	NAMPT	protein_coding
522	ILMN_1653876	20632	SPG21	protein_coding
523	ILMN_1653878	7100154	NA	NA
524	ILMN_1653879	5870670	NPTX1	protein_coding
525	ILMN_1653896	7210438	ATRIP	protein_coding
526	ILMN_1653904	4860767	TXNRD2	protein_coding
527	ILMN_1653910	1990113	HSP90AA6P	transcribed_processed_pseudogene
528	ILMN_1653927	6580446	NA	NA
529	ILMN_1653940	3420441	USP2	protein_coding
530	ILMN_1653945	7150195	NNT-AS1	antisense
531	ILMN_1653965	6550379	NA	NA
532	ILMN_1653980	1440397	METTL8	protein_coding
533	ILMN_1653991	6400746	NA	NA
534	ILMN_1653995	5090390	NA	processed_pseudogene
535	ILMN_1654010	3850435	AGPAT3	protein_coding
536	ILMN_1654013	4260088	HID1	protein_coding
537	ILMN_1654016	4640376	MYL12B	protein_coding
538	ILMN_1654031	2810725	TPTE2	protein_coding
539	ILMN_1654032	2970324	NA	NA
540	ILMN_1654043	3830592	NBEAL1	protein_coding
541	ILMN_1654049	4860477	NA	processed_pseudogene
542	ILMN_1654060	5050553	MKNK2	protein_coding
543	ILMN_1654064	4040066	NA	processed_pseudogene
544	ILMN_1654065	3840376	ATOH8	protein_coding
545	ILMN_1654072	630521	CX3CL1	protein_coding
546	ILMN_1654073	5960193	LINC00558	lincRNA
